,item,user,rating,cal_rating
0,0,0,4.00,4.000000
1,1,0,5.00,5.000000
2,2,0,5.00,5.000000
3,3,0,4.00,4.000000
4,4,0,4.00,4.000000
5,5,0,3.00,3.000000
6,6,0,3.00,3.000000
7,7,0,4.00,4.000000
8,8,0,5.00,5.000000
9,9,0,4.00,4.000000
10,10,0,3.00,3.000000
11,11,0,3.00,3.000000
12,12,0,3.00,3.000000
13,13,0,3.00,3.000000
14,14,0,1.00,1.000000
15,15,0,3.00,3.000000
16,16,0,3.00,3.000000
17,17,0,4.00,4.000000
18,18,0,4.00,4.000000
19,19,0,5.00,5.000000
20,20,0,5.00,5.000000
21,21,0,3.00,3.000000
22,22,0,4.00,4.000000
23,23,0,3.00,3.000000
24,24,0,2.00,2.000000
25,25,0,3.00,3.000000
26,26,0,4.00,4.000000
27,27,0,4.00,4.000000
28,28,0,3.00,3.000000
29,29,0,3.00,3.000000
30,30,0,3.00,3.000000
31,31,0,3.00,3.000000
32,32,0,2.00,2.000000
33,33,0,3.00,3.000000
34,34,0,3.00,3.000000
35,35,0,4.00,4.000000
36,36,0,3.00,3.000000
37,37,0,2.00,2.000000
38,38,0,4.00,4.000000
39,39,0,3.00,3.000000
40,40,0,3.00,3.000000
41,41,0,4.00,4.000000
42,42,0,4.00,4.000000
43,43,0,4.00,4.000000
44,44,0,4.00,4.000000
45,45,0,3.00,3.000000
46,46,0,5.00,5.000000
47,47,0,3.00,3.000000
48,48,0,3.00,3.000000
49,49,0,3.00,3.000000
50,50,0,3.00,3.000000
51,51,0,5.00,5.000000
52,52,0,5.00,5.000000
53,53,0,5.00,5.000000
54,54,0,3.00,3.000000
55,55,0,4.00,4.000000
56,56,0,,3.530435
57,57,0,,3.580645
58,58,0,,2.424528
59,59,0,,4.226804
60,60,0,,3.182432
61,61,0,,3.525926
62,62,0,,2.950704
63,63,0,,2.511905
64,64,0,,3.527397
65,65,0,,2.917722
66,66,0,,4.037190
67,67,0,,3.711864
68,68,0,,3.601695
69,69,0,,4.435714
70,70,0,,4.201754
71,71,0,,3.990566
72,72,0,,4.326531
73,73,0,,3.966019
74,74,0,,3.666667
75,75,0,,3.920290
76,76,0,,3.858779
77,77,0,,3.790476
78,78,0,,4.044872
79,79,0,,4.134259
80,80,0,,3.828244
81,81,0,,3.687500
82,82,0,,4.276423
83,83,0,,4.275862
84,84,0,,4.278226
85,85,0,,4.212575
86,86,0,,3.900990
87,87,0,,4.057895
88,88,0,,4.125000
89,89,0,,4.141026
90,90,0,,4.252381
91,91,0,,3.990909
92,92,0,,4.150000
93,93,0,,3.886905
94,94,0,,4.038043
95,95,0,,4.084337
96,96,0,,4.150000
