,user,item,prediction
0,4,157,4.7068
2,4,88,4.7
1,4,268,4.7
3,4,90,4.6245
5,4,172,4.6093
4,4,227,4.6093
6,4,226,4.6
7,4,116,4.5957
8,4,334,4.5824
9,4,340,4.5442
10,4,22,4.5397
11,4,284,4.5269
12,4,352,4.5257
13,4,69,4.508
14,4,87,4.5074
15,4,316,4.5038
17,4,156,4.5
18,4,230,4.5
16,4,234,4.5
19,4,229,4.4865
20,4,79,4.4474
21,4,178,4.4446
22,4,261,4.4397
23,4,333,4.4324
24,4,238,4.4194
25,4,387,4.4103
26,4,374,4.4052
27,4,338,4.4022
28,4,399,4.4022
33,4,80,4.4
32,4,224,4.4
30,4,233,4.4
31,4,248,4.4
29,4,274,4.4
35,4,100,4.3898
34,4,240,4.3898
36,4,217,4.3879
37,4,449,4.3821
39,4,44,4.3758
38,4,280,4.3758
40,4,256,4.3748
41,4,76,4.3736
42,4,82,4.3681
43,4,368,4.362
44,4,295,4.3553
45,4,188,4.3524
46,4,200,4.3502
51,4,54,4.3397
48,4,66,4.3397
47,4,113,4.3397
49,4,161,4.3397
50,4,305,4.3397
52,4,132,4.3241
53,4,185,4.3222
54,4,311,4.3193
55,4,177,4.3131
56,4,165,4.3085
57,4,286,4.3075
58,4,173,4.3071
59,4,310,4.3055
60,4,95,4.3022
61,4,405,4.3012
62,4,359,4.3011
63,4,421,4.3
64,4,253,4.298
65,4,354,4.2964
66,4,236,4.2902
67,4,212,4.2891
68,4,357,4.2778
69,4,190,4.2769
70,4,425,4.2767
71,4,439,4.2735
72,4,317,4.2675
73,4,344,4.2616
74,4,7,4.2603
75,4,52,4.2584
76,4,14,4.2581
77,4,141,4.2578
78,4,335,4.2569
79,4,376,4.2524
80,4,275,4.2471
81,4,307,4.2458
83,4,120,4.2353
82,4,331,4.2353
84,4,304,4.2344
85,4,393,4.23
86,4,291,4.2262
87,4,235,4.2222
88,4,297,4.2121
89,4,306,4.2087
90,4,127,4.2083
92,4,98,4.2074
91,4,99,4.2074
93,4,210,4.2074
94,4,362,4.2023
95,4,203,4.2021
96,4,94,4.2
97,4,255,4.2
98,4,320,4.1976
99,4,166,4.1969
100,4,417,4.1961
101,4,363,4.1875
102,4,71,4.1866
103,4,4,4.1829
104,4,388,4.1821
105,4,285,4.1816
106,4,440,4.177
107,4,3,4.1769
108,4,40,4.1762
109,4,300,4.1727
110,4,199,4.1689
111,4,313,4.1682
112,4,207,4.1681
113,4,308,4.1675
114,4,382,4.1662
115,4,131,4.165
116,4,265,4.1646
117,4,184,4.1635
118,4,91,4.1619
119,4,70,4.1614
120,4,167,4.1582
