+--------+---------+
|   item |   count |
|--------+---------|
|    203 |     194 |
|    232 |     187 |
|    200 |     167 |
|    233 |     155 |
|    208 |     153 |
|    227 |     152 |
|    244 |     152 |
|    172 |     151 |
|    280 |     149 |
|    234 |     148 |
|    247 |     145 |
|    182 |     144 |
|    162 |     131 |
|    251 |     130 |
|    217 |     129 |
|    236 |     129 |
|    226 |     125 |
|    153 |     123 |
|    152 |     122 |
|    281 |     118 |
|    187 |     117 |
|    151 |     115 |
|    161 |     115 |
|    150 |     114 |
|    184 |     114 |
|    156 |     112 |
|    165 |     110 |
|    240 |     106 |
|    192 |     105 |
|    241 |     105 |
+--------+---------+
