+--------+--------------+
|   item |   prediction |
|--------+--------------|
|    316 |       0.8666 |
|    203 |       0.8634 |
|    307 |       0.8347 |
|    290 |       0.8321 |
|    310 |       0.8311 |
|    306 |       0.8268 |
|    295 |       0.8265 |
|    157 |       0.8244 |
|    292 |       0.8227 |
|    344 |       0.8163 |
|    291 |       0.8148 |
|    289 |       0.8112 |
|    296 |       0.8058 |
|    240 |       0.7999 |
|    156 |       0.7996 |
|    233 |       0.7992 |
|    207 |       0.798  |
|    280 |       0.7975 |
|    311 |       0.7974 |
|    283 |       0.7959 |
|    224 |       0.7936 |
|    318 |       0.7918 |
|    308 |       0.7883 |
|    234 |       0.7866 |
|    244 |       0.786  |
|    284 |       0.7855 |
|    232 |       0.7839 |
|    212 |       0.7838 |
|    251 |       0.7795 |
|    190 |       0.7776 |
+--------+--------------+
