+--------+----------+
|   item |   scores |
|--------+----------|
|    203 |   4.6    |
|    270 |   4.4074 |
|    280 |   4.3713 |
|    274 |   4.3391 |
|    281 |   4.3043 |
|     61 |   4.2932 |
|     60 |   4.2    |
|    284 |   4.1713 |
|    282 |   4.1582 |
|    217 |   4.1254 |
|    279 |   4.0571 |
|    212 |   4.0253 |
|    275 |   4.0253 |
|     59 |   3.9793 |
|     57 |   3.9713 |
|    200 |   3.9602 |
|    259 |   3.9502 |
|    441 |   3.9391 |
|     56 |   3.9143 |
|    445 |   3.9043 |
|    209 |   3.8725 |
|    278 |   3.8725 |
|     64 |   3.8534 |
|     66 |   3.8253 |
|     68 |   3.8253 |
|     77 |   3.8253 |
|     78 |   3.8253 |
|    155 |   3.8253 |
|    266 |   3.8253 |
|    437 |   3.8253 |
|    272 |   3.8142 |
|    267 |   3.8074 |
|    204 |   3.7502 |
|    219 |   3.7502 |
|     65 |   3.7391 |
|     69 |   3.7184 |
|     70 |   3.7184 |
|     71 |   3.7184 |
|     72 |   3.7184 |
|     73 |   3.7184 |
|     74 |   3.7184 |
|     75 |   3.7184 |
|     79 |   3.7184 |
|     80 |   3.7184 |
|     81 |   3.7184 |
|     82 |   3.7184 |
|     83 |   3.7184 |
|     84 |   3.7184 |
|     85 |   3.7184 |
|     86 |   3.7184 |
|     87 |   3.7184 |
|     88 |   3.7184 |
|     89 |   3.7184 |
|     90 |   3.7184 |
|     91 |   3.7184 |
|     92 |   3.7184 |
|     93 |   3.7184 |
|     94 |   3.7184 |
|     95 |   3.7184 |
|     96 |   3.7184 |
|     97 |   3.7184 |
|     98 |   3.7184 |
|     99 |   3.7184 |
|    100 |   3.7184 |
|    101 |   3.7184 |
|    102 |   3.7184 |
|    103 |   3.7184 |
|    104 |   3.7184 |
|    105 |   3.7184 |
|    106 |   3.7184 |
|    107 |   3.7184 |
|    108 |   3.7184 |
|    109 |   3.7184 |
|    110 |   3.7184 |
|    111 |   3.7184 |
|    112 |   3.7184 |
|    113 |   3.7184 |
|    114 |   3.7184 |
|    115 |   3.7184 |
|    116 |   3.7184 |
|    117 |   3.7184 |
|    118 |   3.7184 |
|    119 |   3.7184 |
|    120 |   3.7184 |
|    121 |   3.7184 |
|    122 |   3.7184 |
|    123 |   3.7184 |
|    124 |   3.7184 |
